Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.29308021068573,2.3376091426725405,0.9033576846122742,-0.012066803872585297,375906.0
Global,All,3,2.3349688053131104,3.726509909588623,0.7538541555404663,-0.05603044852614403,374872.0
Global,All,6,3.0838377475738525,4.637432605839793,0.6187198162078857,-0.1647915095090866,373321.0
Global,All,12,3.7160234451293945,5.479307958524115,0.46819233894348145,-0.2754010558128357,370219.0
Global,All,24,4.155844688415527,6.0560838233659515,0.3497559428215027,-0.19101054966449738,364015.0
Country,AT,1,0.9707711935043335,1.6634656525285798,0.9507300853729248,-0.02003840170800686,159831.0
Country,BE,1,1.3408867120742798,2.7948979897214885,0.8833470940589905,-0.03777628391981125,82411.0
Country,ES,1,2.43619966506958,3.5597757999672837,0.7573851346969604,0.08608193695545197,50638.0
Country,FI,1,0.8332841396331787,1.4731430746595384,0.8723117113113403,-0.018988488242030144,44255.0
Country,FR,1,1.5519907474517822,2.4375366795054236,0.9019709825515747,-0.04484603926539421,38771.0
Country,AT,3,1.9652233123779297,3.072758367739193,0.8318845629692078,-0.09370172023773193,159755.0
Country,BE,3,2.6353228092193604,4.463418193995192,0.6997181177139282,-0.1004830002784729,82099.0
Country,ES,3,3.4389569759368896,4.936725217655302,0.5332555770874023,0.1589912474155426,50348.0
Country,FI,3,1.645977258682251,2.444811394872873,0.6479314565658569,-0.0738588199019432,44113.0
Country,FR,3,2.5740909576416016,3.848692406882869,0.7561913728713989,-0.06567245721817017,38557.0
Country,AT,6,2.7257704734802246,4.076080862289517,0.7041789889335632,-0.22141844034194946,159641.0
Country,BE,6,3.5680363178253174,5.4609287682110095,0.5491194725036621,-0.22801664471626282,81631.0
Country,ES,6,3.981973648071289,5.624862160583273,0.3948759436607361,0.1320885866880417,49913.0
Country,FI,6,2.2452731132507324,3.167582496586421,0.40938252210617065,-0.20352016389369965,43900.0
Country,FR,6,3.3354573249816895,4.910966100800625,0.6043398380279541,-0.13646449148654938,38236.0
Country,AT,12,3.4205801486968994,5.0049492183094575,0.5540798902511597,-0.32020050287246704,159413.0
Country,BE,12,4.328352451324463,6.534059349255243,0.3541228771209717,-0.36540284752845764,80695.0
Country,ES,12,4.318686008453369,6.062488044648328,0.29902827739715576,0.06632976979017258,49043.0
Country,FI,12,2.78609561920166,3.8150437420778394,0.14465492963790894,-0.3089577853679657,43474.0
Country,FR,12,3.943640947341919,5.74629954806515,0.4607388377189636,-0.2992441654205322,37594.0
Country,AT,24,4.015961170196533,5.786352267067202,0.40373891592025757,-0.19327984750270844,158957.0
Country,BE,24,4.780181884765625,7.100036255649894,0.2343342900276184,-0.2480313926935196,78823.0
Country,ES,24,4.509135723114014,6.334186128455029,0.2387242317199707,0.08888906985521317,47303.0
Country,FI,24,3.06003475189209,4.161863966911599,-0.017855525016784668,-0.3525116741657257,42622.0
Country,FR,24,4.238932132720947,6.251048190912258,0.36110132932662964,-0.23235738277435303,36310.0
StationArea,rural,1,0.6036667227745056,1.0752598936277216,0.885073184967041,-0.07943763583898544,11062.0
StationArea,rural-nearcity,1,0.8663375973701477,1.437566506879052,0.9586942791938782,-0.00676372367888689,16840.0
StationArea,suburban,1,1.1567065715789795,2.301419906187206,0.9065672159194946,-0.05280543491244316,105923.0
StationArea,urban,1,1.4139397144317627,2.443584477509293,0.896204948425293,0.008468103595077991,242081.0
StationArea,rural,3,1.3159536123275757,1.9352034832915568,0.6274021863937378,-0.24820204079151154,11026.0
StationArea,rural-nearcity,3,1.7862069606781006,2.78968056207108,0.8444040417671204,-0.06180494278669357,16832.0
StationArea,suburban,3,2.225433588027954,3.564443894465788,0.7738011479377747,-0.16990862786769867,105703.0
StationArea,urban,3,2.467787742614746,3.910713148521263,0.7343111038208008,0.003035829169675708,241311.0
StationArea,rural,6,1.8331619501113892,2.5741128856325894,0.3420526385307312,-0.4552437961101532,10972.0
StationArea,rural-nearcity,6,2.487384080886841,3.7477232061261314,0.7190349698066711,-0.17986734211444855,16820.0
StationArea,suburban,6,2.9972333908081055,4.543836909201504,0.6309311389923096,-0.3309648633003235,105373.0
StationArea,urban,6,3.220750570297241,4.804699806259647,0.5995128750801086,-0.07755405455827713,240156.0
StationArea,rural,12,2.309939384460449,3.140822826626691,0.0256919264793396,-0.6490965485572815,10864.0
StationArea,rural-nearcity,12,3.1341562271118164,4.647572258956463,0.5678203701972961,-0.2588726878166199,16796.0
StationArea,suburban,12,3.657362222671509,5.4248063575886265,0.4728221893310547,-0.4804936349391937,104713.0
StationArea,urban,12,3.8471643924713135,5.639149311652108,0.4495718479156494,-0.16920602321624756,237846.0
StationArea,rural,24,2.6036486625671387,3.508012999515958,-0.20569384098052979,-0.6592153906822205,10648.0
StationArea,rural-nearcity,24,3.7143921852111816,5.385151702245831,0.41893792152404785,-0.11811836063861847,16748.0
StationArea,suburban,24,4.139301776885986,6.062881300428529,0.33829545974731445,-0.3807602524757385,103393.0
StationArea,urban,24,4.265744209289551,6.188981004201041,0.3376652002334595,-0.09074964374303818,233226.0
