Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Country,AT,1,0.8850451775003385,1.5962114837351422,0.9546335114535168,0.0357901321610327,159831.0
Country,AT,3,2.095749521815144,3.3932629601080424,0.7949849423591477,0.0740391977687519,159755.0
Country,AT,6,3.2479930506941304,4.851736405500327,0.5808805231686176,0.239934845961051,159641.0
Country,AT,12,4.233846837676384,6.106704655902788,0.336147494057155,0.2874592574781348,159413.0
Country,AT,24,4.86194154455876,6.975323177051979,0.1335264304100938,0.1993369459494689,158957.0
Country,BE,1,1.254159912879804,2.544612222119976,0.90330437918567,-0.0024524284435281,82411.0
Country,BE,3,2.6927360872570163,4.366616467177086,0.7126018075487257,0.0542722530235121,82099.0
Country,BE,6,4.039764349563206,6.113858583743971,0.4348558215174312,0.0458010345950407,81631.0
Country,BE,12,5.004822550163267,7.370846280877912,0.1781009198351639,0.0929624322429968,80695.0
Country,BE,24,5.730027442887508,8.264166666501534,-0.0373282859211978,0.2111945728978429,78823.0
Country,ES,1,2.381316388989094,3.453632440983415,0.7716376803160072,0.0235844305649325,50638.0
Country,ES,3,3.416854024549014,4.914763117255682,0.5373991410000629,0.2558520314918288,50348.0
Country,ES,6,4.164549453169716,5.927794003168583,0.3279418494876646,0.1778718776193495,49913.0
Country,ES,12,4.688731891195019,6.601982676629997,0.1687196848951988,0.2306541630677438,49043.0
Country,ES,24,4.931597228877134,6.920368109728014,0.0913037375295572,0.0612708984604673,47303.0
Country,FI,1,0.6898834628097729,1.3725131576279972,0.88916058051125,-0.0106844060260176,44255.0
Country,FI,3,1.3613849266901783,2.2452497139557384,0.7030619654891799,0.0426796694212422,44113.0
Country,FI,6,1.954778432607108,3.022296090054632,0.4623193305585511,0.0258380281409261,43900.0
Country,FI,12,2.4112155054455413,3.561633712652791,0.2545117647999866,0.1298639737797972,43474.0
Country,FI,24,2.771727681204724,3.991890160143783,0.0635867630202989,0.2224064224637056,42622.0
Country,FR,1,1.522533497538929,2.39749174187951,0.9051654766713578,0.044038072719231,38771.0
Country,FR,3,2.6283271746859653,4.008076404552812,0.7355798095431914,0.1764590533240923,38557.0
Country,FR,6,3.5926887684504925,5.401908624720811,0.5212784663403308,0.0486850701860958,38236.0
Country,FR,12,4.385508825457172,6.471762071434834,0.3159815921065624,0.3402444572025597,37594.0
Country,FR,24,4.938379522802678,7.313765213836998,0.1254022903488258,0.3578625284650377,36310.0
Global,All,1,1.2103032846795534,2.219066684162805,0.9129107957822042,0.0211411779983117,375906.0
Global,All,3,2.372288022201542,3.81738747970977,0.7417023897497872,0.1009729395587592,374872.0
Global,All,6,3.426897602928956,5.196180615500127,0.5213065190762081,0.144423040240792,373321.0
Global,All,12,4.263524728411518,6.278218854088413,0.3018060468225674,0.2243946818551123,370219.0
Global,All,24,4.821850958471483,7.032797629784476,0.1231024980164108,0.2024770544991428,364015.0
StationArea,rural,1,0.4167443221181367,0.927887564487153,0.9144174267192664,-0.0066648256151526,11062.0
StationArea,rural,3,0.9477735449911872,1.6442557797448951,0.7310164380240431,0.0152168996792922,11026.0
StationArea,rural,6,1.412702084196079,2.300385366540387,0.474543055897376,-0.01975219500921,10972.0
StationArea,rural,12,1.8532179732737029,2.8231703664308574,0.2128027699087711,0.1754338408604988,10864.0
StationArea,rural,24,2.157509049085814,3.220324531633893,-0.0160472101560933,0.1559795393118009,10648.0
StationArea,rural-nearcity,1,0.7726629177068588,1.3605771959263535,0.9630000956162972,0.0352346093241222,16840.0
StationArea,rural-nearcity,3,1.8678221881049668,3.0664980844747047,0.8119926734177152,0.0793924663683307,16832.0
StationArea,rural-nearcity,6,3.04429378146649,4.628480540602933,0.5714572698199799,0.2053754877392092,16820.0
StationArea,rural-nearcity,12,4.061304331081315,5.888059163523439,0.3063245781265548,0.4731882857719924,16796.0
StationArea,rural-nearcity,24,4.540455955493299,6.664687338523748,0.1100077550561654,0.2773475888124479,16748.0
StationArea,suburban,1,1.0622782991341289,2.1301441304814994,0.9199565869659656,0.0003782651785514,105923.0
StationArea,suburban,3,2.2703084435157144,3.724018402152903,0.7530946848004096,0.0392655867920733,105703.0
StationArea,suburban,6,3.389513591709412,5.168825301738561,0.522420605495122,0.1171605768942524,105373.0
StationArea,suburban,12,4.266205064866493,6.2874671684777885,0.2918258637543443,0.1424684402290628,104713.0
StationArea,suburban,24,4.838981052757228,7.055441151665442,0.1039043484804551,0.080515508494099,103393.0
StationArea,urban,1,1.3417777232666483,2.343699035923376,0.9045171198749078,0.030516249330027,242081.0
StationArea,urban,3,2.517235467411512,3.9728766754972074,0.7257973307362003,0.1334266649585515,241311.0
StationArea,urban,6,3.5621197706981262,5.339206898917549,0.5054507916456439,0.1596166563255643,240156.0
StationArea,urban,12,4.386719570074467,6.413767145230375,0.2879675369163145,0.2451304341678108,237846.0
StationArea,urban,24,4.956105219671054,7.173949767477166,0.1100698151609197,0.2532910459029103,233226.0
