Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.3904505968093872,2.37082505942601,0.8941552042961121,-0.00859488919377327,152391.0
Global,All,3,2.2450857162475586,3.5200185491333245,0.7670426964759827,0.11576627194881439,151011.0
Global,All,6,3.068223714828491,4.574983215301241,0.6068568229675293,0.3730321228504181,150539.0
Global,All,12,3.715836763381958,5.371405353177104,0.4593620300292969,0.44864585995674133,150053.0
Global,All,24,4.052894115447998,5.802721227055114,0.36990201473236084,0.2764357924461365,148480.0
Country,AT,1,0.9237890839576721,1.5920265453320401,0.9626051783561707,-0.0423835925757885,44030.0
Country,BE,1,1.2052899599075317,2.2835165808810522,0.8967258930206299,0.03730088844895363,29717.0
Country,ES,1,2.351856231689453,3.473770906729309,0.7737864255905151,-0.009061478078365326,35823.0
Country,FI,1,0.7455121278762817,1.2359175881808544,0.9009181261062622,0.021916905418038368,19993.0
Country,FR,1,1.5877236127853394,2.36042832868029,0.8625168800354004,-0.02916068211197853,22828.0
Country,AT,3,1.8292269706726074,2.947480797417934,0.8718330264091492,-0.034017883241176605,44020.0
Country,BE,3,2.3093554973602295,3.644559772212213,0.7368330359458923,0.18442048132419586,29591.0
Country,ES,3,3.173003673553467,4.65849833642648,0.5926029682159424,0.24088729918003082,35201.0
Country,FI,3,1.2788379192352295,1.9816901599506331,0.7462304830551147,0.1097627803683281,19769.0
Country,FR,3,2.3718087673187256,3.3656088542639506,0.7220110893249512,0.1280822902917862,22430.0
Country,AT,6,2.754051685333252,4.303119353025411,0.726879894733429,-0.027698541060090065,44000.0
Country,BE,6,3.244551420211792,4.762790124421515,0.5500275492668152,0.49119478464126587,29548.0
Country,ES,6,3.9395945072174072,5.636923804092488,0.4068247675895691,0.5834864974021912,34971.0
Country,FI,6,1.8662564754486084,2.651150464496572,0.5473467111587524,0.46641281247138977,19685.0
Country,FR,6,3.148878574371338,4.317181906763817,0.5395936369895935,0.5943295359611511,22335.0
Country,AT,12,3.6212663650512695,5.390610139245821,0.5715835094451904,-0.048672642558813095,43950.0
Country,BE,12,3.846045732498169,5.5094684248872055,0.3993331789970398,0.5582738518714905,29471.0
Country,ES,12,4.48126745223999,6.3513667040085995,0.24946635961532593,0.6312215924263,34813.0
Country,FI,12,2.4399573802948,3.283112496890158,0.30421972274780273,0.8318766355514526,19596.0
Country,FR,12,3.656175374984741,4.938794895780044,0.40070444345474243,0.6628610491752625,22223.0
Country,AT,24,4.14404821395874,6.052417354153415,0.4607188105583191,-0.11754729598760605,43830.0
Country,BE,24,4.176064968109131,6.017918216513459,0.28660374879837036,0.22822439670562744,29246.0
Country,ES,24,4.776642322540283,6.6461684123583336,0.1731109619140625,0.37405359745025635,34221.0
Country,FI,24,2.7410659790039062,3.669376643405781,0.13166683912277222,0.8797016143798828,19345.0
Country,FR,24,3.7329213619232178,5.076437520102834,0.36799341440200806,0.444377601146698,21838.0
StationArea,rural,1,0.46822720766067505,0.8024603382898112,0.9466564059257507,0.018017757683992386,4236.0
StationArea,rural-nearcity,1,0.7611866593360901,1.220130187811549,0.971290647983551,-0.01337686087936163,4403.0
StationArea,suburban,1,1.102123498916626,2.0220302563449595,0.9234370589256287,0.004963414743542671,34100.0
StationArea,urban,1,1.5410101413726807,2.5407650917158278,0.8788864612579346,-0.01364736445248127,109652.0
StationArea,rural,3,0.9504178762435913,1.582966695130332,0.7925601005554199,0.08032296597957611,4215.0
StationArea,rural-nearcity,3,1.5406851768493652,2.393143667216508,0.8895474076271057,0.03720540553331375,4402.0
StationArea,suburban,3,1.9905972480773926,3.2224502775086576,0.8057945966720581,0.0886063501238823,33932.0
StationArea,urban,3,2.4036028385162354,3.6976728905215306,0.7439007759094238,0.1288289576768875,108462.0
StationArea,rural,6,1.4866195917129517,2.229095410310335,0.5899959802627563,0.3839055299758911,4204.0
StationArea,rural-nearcity,6,2.2640302181243896,3.3124784073035918,0.7884130477905273,0.1724107563495636,4400.0
StationArea,suburban,6,2.828341484069824,4.318596773424288,0.6505728960037231,0.294353723526001,33881.0
StationArea,urban,6,3.2377216815948486,4.761506248783272,0.5761213898658752,0.4054485261440277,108054.0
StationArea,rural,12,2.005072593688965,2.8106345878099925,0.3486472964286804,0.7201613187789917,4181.0
StationArea,rural-nearcity,12,3.0888164043426514,4.437951508238631,0.6203435659408569,0.018488841131329536,4395.0
StationArea,suburban,12,3.5088727474212646,5.173974846919217,0.49902111291885376,0.3881688416004181,33822.0
StationArea,urban,12,3.8728976249694824,5.540183918237768,0.4278208613395691,0.4746622145175934,107655.0
StationArea,rural,24,2.3398630619049072,3.291978426949511,0.11513036489486694,0.8521593809127808,4135.0
StationArea,rural-nearcity,24,3.616478204727173,5.105030697721867,0.4983089566230774,0.07100988179445267,4383.0
StationArea,suburban,24,3.8931047916412354,5.691315094499935,0.3985168933868408,0.20202717185020447,33631.0
StationArea,urban,24,4.188039302825928,5.939551390587975,0.342035710811615,0.2860492169857025,106331.0
