Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.490295912972043,2.5102355111772763,0.8847728262053489,-0.013410083985196029,606635.0
Global,All,3,2.5006299044214972,3.8901097609820083,0.7234153282904114,-0.06962813094622455,601349.0
Global,All,6,3.1974523757914612,4.812255378325031,0.5763440073584036,-0.1475579470497816,599587.0
Global,All,12,3.7323818691164283,5.531257890812052,0.44000224443528946,-0.23627065796880053,597887.0
Global,All,24,4.116139088373699,6.0411022125311575,0.33334500364718167,-0.3356979160501298,592961.0
Country,AT,1,1.0016971720480226,1.7038789631003055,0.9482844130819048,-0.039788793468143055,166029.0
Country,BE,1,1.382562517789017,2.5668650593399334,0.8988296223663236,-0.050032309064721336,126057.0
Country,ES,1,2.30770787832181,3.4032532487283675,0.7820864756007428,0.024794502337128262,142308.0
Country,FI,1,0.8874010571585423,1.529674577321915,0.8566369526065701,-0.019526335008681457,79889.0
Country,FR,1,1.7777018611328947,2.7031858128199677,0.8686503506790062,0.030421359743708968,92352.0
Country,AT,3,1.9981042461080034,3.135597317236447,0.8244574766401591,-0.13371239135523108,165990.0
Country,BE,3,2.655686247156201,4.252411407474607,0.7228211566819955,-0.1482446265650706,125452.0
Country,ES,3,3.3180760997719867,4.8338357320386205,0.5595185396771056,-0.0069571070427460295,139872.0
Country,FI,3,1.5936430169264622,2.4594075589171878,0.6310385037046224,-0.09630267860221475,79028.0
Country,FR,3,2.7346957589557315,3.996230507822391,0.7139338564390001,0.08247069321451829,91007.0
Country,AT,6,2.7540267253215394,4.144037818105845,0.69268913083592,-0.22057916559566904,165969.0
Country,BE,6,3.5638106201074655,5.454288947543943,0.5438373189430803,-0.2571058375917411,125296.0
Country,ES,6,3.877620593284627,5.5962112888404425,0.40904195258189346,-0.10350037308037494,138989.0
Country,FI,6,2.1097373721532247,3.1069067564848023,0.4120982922406896,-0.22798937763270014,78684.0
Country,FR,6,3.4042010014590174,4.920949728763644,0.5657927380212053,0.13981775096939406,90649.0
Country,AT,12,3.4423545021619053,5.0673355097432795,0.5398044285261796,-0.2700376878869945,165918.0
Country,BE,12,4.24351017403513,6.422613865488297,0.3675312972052154,-0.4084256357342936,125090.0
Country,ES,12,4.187568061086502,6.026942948003717,0.31542382929798096,-0.24759854864342165,138381.0
Country,FI,12,2.542788773334003,3.6270696106287694,0.19719688950333525,-0.3661674888155192,78314.0
Country,FR,12,3.891571905931988,5.586976861651799,0.43862798955483995,0.1948227675726155,90184.0
Country,AT,24,4.059078794440281,5.838740090736485,0.38823006364559,-0.37144993117652025,165770.0
Country,BE,24,4.629537768242379,7.009542324777378,0.247726354773931,-0.5425412169223309,124381.0
Country,ES,24,4.374582475791383,6.288562194686267,0.25902966803615335,-0.4014238007737217,136672.0
Country,FI,24,2.8853229368612836,4.019656214131999,0.019617031687134467,-0.49589855694327795,77364.0
Country,FR,24,4.178102386468323,6.025107571364753,0.3485508606893257,0.26166886535306605,88774.0
StationArea,rural,1,0.5726804107247357,1.0135647074786902,0.9095569127795927,0.0037675187941194972,16874.0
StationArea,rural-nearcity,1,0.9002965611779595,1.4951097148216383,0.9552383482783068,-0.010277817682698896,17492.0
StationArea,suburban,1,1.2735674136627195,2.305024032627925,0.90679293475847,-0.05176380423449172,143569.0
StationArea,urban,1,1.6230684965126154,2.6468272050687234,0.8718999836440317,-0.0013695876217491366,428700.0
StationArea,rural,3,1.1872191008736426,1.822214227832143,0.7074488031489292,-0.04824931155198357,16789.0
StationArea,rural-nearcity,3,1.8115902287803394,2.8685330518649153,0.8350340690049838,-0.06587575874203927,17488.0
StationArea,suburban,3,2.3175134226617793,3.7231813013138555,0.7570009392837512,-0.15842692592236737,142854.0
StationArea,urban,3,2.642678807847756,4.038940781135332,0.7018373153414021,-0.04072621595533494,424218.0
StationArea,rural,6,1.6390896905005656,2.378942163242565,0.502041054968883,-0.16252802804336977,16751.0
StationArea,rural-nearcity,6,2.5186194832437114,3.8285611746071138,0.704885414712692,-0.12324270067449136,17486.0
StationArea,suburban,6,3.0655973205268405,4.7167862955488085,0.6092352364876479,-0.2697186438213518,142655.0
StationArea,urban,6,3.3317903457441997,4.950746978001486,0.551803543243548,-0.10674265085145038,422695.0
StationArea,rural,12,2.051639651489951,2.8875879330245393,0.2680369220442558,-0.26722596743016463,16677.0
StationArea,rural-nearcity,12,3.17695819959651,4.722546148838206,0.5490986736500139,-0.11773721087196028,17481.0
StationArea,suburban,12,3.6767173788359115,5.562690493312644,0.456322925028385,-0.37580936883260163,142476.0
StationArea,urban,12,3.8407964158316843,5.630462308028639,0.420035296981612,-0.19276930396961672,421253.0
StationArea,rural,24,2.4513673754801184,3.35858241446378,0.010796264797177546,-0.43961028552558046,16542.0
StationArea,rural-nearcity,24,3.7682298931784555,5.441998185371453,0.40070784269531556,-0.18495764798638342,17466.0
StationArea,suburban,24,4.130726860764704,6.1773434609625335,0.331743077239408,-0.49478585112885026,141813.0
StationArea,urban,24,4.1917647773794995,6.100570292853499,0.3203113603167659,-0.28380448403406766,417140.0
