Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_persistence,RMSE_persistence,skill_vs_persistence_mae
Global,All,1,1.2131187994036805,2.2122867522596734,0.9134421514746492,-0.0078342546833963,375906,1.2947137384643814,2.4151903530753254,0.0630216059632441
Global,All,3,2.187505997130512,3.565727402857032,0.7746361901946519,-0.1210607325572302,374872,2.4275559402749294,4.028722440129972,0.0988854424163058
Global,All,6,3.013195788689069,4.669867572756274,0.6133676702330086,-0.0906022557856658,373321,3.385793231541448,5.331338951743897,0.1100473116259218
Global,All,12,3.7310789223546026,5.609053801692326,0.4427085333645458,-0.1686413571235257,370219,4.28503353588669,6.522903629522232,0.1292766109979718
Global,All,24,4.303784608014372,6.37756476827934,0.2788886234297566,-0.1347075622775991,364015,4.768126709482204,7.279989962596635,0.0973845977172569
Country,AT,1,0.9034497476972724,1.5996255058573086,0.954439241671241,-0.007786529948498,159831,0.9488810573799152,1.7018312839533685,0.047878824568476
Country,AT,3,1.8726038530031013,3.008471039714871,0.838845514825934,-0.1512145921085657,159755,2.016306738163816,3.283138366659509,0.0712703491193904
Country,AT,6,2.7964802008885297,4.231145765273644,0.6812432262140509,-0.0924849773730073,159641,2.9915997440986826,4.596917196095512,0.0652224762336778
Country,AT,12,3.583508030646014,5.248156848733003,0.5096892914398291,-0.2626461745943166,159413,4.009265169319308,5.908959941474431,0.106193309919079
Country,AT,24,4.331104665357002,6.159922098783073,0.3242639454130137,-0.0416572522468211,158957,4.667097370049048,6.917728718413577,0.0719917923393389
Country,BE,1,1.2649760137845598,2.5652549345838445,0.9017291637407526,-0.0129135790257842,82411,1.3149323789370182,2.7328371584444056,0.0379915849306583
Country,BE,3,2.4955638234749697,4.196987485459519,0.7344970906494761,-0.1946023698250883,82099,2.709178361008828,4.598609017737496,0.0788484584877287
Country,BE,6,3.550718094372606,5.582470008195583,0.5288260437659049,-0.1330119893589163,81631,3.9057016538575673,6.213427220158961,0.0908885498548903
Country,BE,12,4.431360537790589,6.716188537012078,0.3176148855256611,-0.1013468822143845,80695,5.02498766760658,7.803848654830181,0.1181350421301109
Country,BE,24,5.095907110882554,7.726151216214308,0.0933399208539484,-0.1986670463287801,78823,5.750646372970141,8.869430287483084,0.1138548990188421
Country,ES,1,2.3336570087289576,3.3892508163545565,0.7800724509638544,-0.0355620889322062,50638,2.609660727081576,3.868896958383779,0.1057622990944411
Country,ES,3,3.250635826579153,4.697651123612933,0.5773676131830864,-0.0553815314926392,50348,3.9009692515013863,5.738598839496572,0.1667107282816793
Country,ES,6,3.784422249030024,5.4474967817120366,0.4324363003059156,-0.1742873676475754,49913,4.754272432009908,6.91751852820809,0.2039955002262821
Country,ES,12,4.302979527723852,6.167683381608437,0.2744908772304252,-0.1243030171802415,49043,5.312745954546879,7.629470277252487,0.1900648808473188
Country,ES,24,4.542767283664612,6.496574352858627,0.199190574692866,-0.2624627890386352,47303,5.15622687574154,7.566356558818061,0.1189745150592706
Country,FI,1,0.6990289885342397,1.4040652834425889,0.884005923393768,0.0087035804882573,44255,0.7154821395389159,1.4836699155959343,0.022995893391943
Country,FI,3,1.2740485965009802,2.184264419774538,0.7189737080979155,-0.0320129812370443,44113,1.3718299223371238,2.417252856815313,0.071278023787058
Country,FI,6,1.7325420583136262,2.7682608375585405,0.5489087300902882,0.0044278371795706,43900,1.920653950472899,3.1537738069916363,0.0979415850070005
Country,FI,12,2.161136997860994,3.298954421156464,0.3604199365787731,-0.0743936422190692,43474,2.4751750962047714,3.833617240758956,0.1268751042402202
Country,FI,24,2.456164780100968,3.671092161240438,0.208044182540834,-0.1872929656395387,42622,2.7519672597278584,4.241944468832866,0.1074876449133854
Country,FR,1,1.5027770502911473,2.3796817281469957,0.906569219310322,0.0201032367779206,38771,1.6211472498845108,2.584333622726432,0.0730163158231284
Country,FR,3,2.4931531743204136,3.78597776167608,0.764072401246451,-0.0271751905936412,38557,2.815709209437192,4.292526282129261,0.1145558760243041
Country,FR,6,3.2340526321166503,4.909814322958157,0.6045253659637813,0.0079347885032866,38236,3.817415530230912,5.742556677350635,0.1528161902979879
Country,FR,12,3.923115615407894,5.831041589291766,0.4447162268436964,-0.0813015701606272,37594,4.618335382427352,6.877428066568332,0.150534707735768
Country,FR,24,4.322084481339913,6.423209331151965,0.3254246640976257,-0.1750551019808833,36310,4.938565133498478,7.439270169002556,0.1248299122303668
StationArea,rural,1,0.4284550013194741,0.9102138544646116,0.9176466035467954,0.0180217547952061,11062,0.4401026992206439,0.9690527098507626,0.026465863358248
StationArea,rural,3,0.878812511235816,1.5957985117935891,0.7466370555342239,0.0135290670282456,11026,0.9309843056175554,1.7412646688806734,0.0560393919284513
StationArea,rural,6,1.2471180370025203,2.039023666398199,0.5871612291459267,0.0535630970986881,10972,1.3308628239511704,2.2670087438979687,0.0629251831530029
StationArea,rural,12,1.60932875888776,2.4665618926992923,0.3991121552622113,0.0359420014630361,10864,1.737733001912641,2.72712780703609,0.0738918135775475
StationArea,rural,24,1.916159896094668,2.891946253660869,0.1806017317934496,-0.0010251700206415,10648,2.11376712507632,3.275265707629104,0.0934858086481578
StationArea,rural-nearcity,1,0.789645947073531,1.3743135918545,0.9622492217055753,0.0092788017277479,16840,0.8152773870708258,1.4390647428423629,0.0314389193221522
StationArea,rural-nearcity,3,1.669409119697578,2.6971053982404585,0.8545595482070096,-0.0803382230122279,16832,1.7833086191021443,2.9411204519420395,0.0638697633065398
StationArea,rural-nearcity,6,2.5137790735213,3.862744204058559,0.7015241849111955,-0.0339056992218979,16820,2.691308990216567,4.201887984983443,0.0659641525148628
StationArea,rural-nearcity,12,3.3208588773394005,4.923825467743628,0.5149156345589732,-0.1103387844508589,16796,3.677648288064072,5.530917006804698,0.0970156422740704
StationArea,rural-nearcity,24,3.951474510942919,5.705314504510201,0.3477924201151253,-0.0230843121435467,16748,4.251853230718727,6.447953414490231,0.0706465401029454
StationArea,suburban,1,1.0735408993586109,2.114986757428843,0.9210916569616172,-0.0214820945971819,105923,1.1227050914744416,2.269638114667545,0.0437908338433414
StationArea,suburban,3,2.0725009096028213,3.466967667104454,0.7860036404194085,-0.1758909776901141,105703,2.2499683116664984,3.820050421324322,0.078875511776533
StationArea,suburban,6,2.9439940065057533,4.619423383093167,0.6185501842407136,-0.1353959629259251,105373,3.2226304120898805,5.132064065178617,0.0864624142249781
StationArea,suburban,12,3.672257985097228,5.559876287411574,0.4462434740496376,-0.2593672844147605,104713,4.185665743493493,6.435577907851871,0.1226585661299743
StationArea,suburban,24,4.291802928852024,6.378344246166152,0.2676445261840484,-0.1877937295772074,103393,4.793277252805722,7.369305397570743,0.1046203458521332
StationArea,urban,1,1.339505189389351,2.3395079659803435,0.9048583050017004,-0.0042345624300928,242081,1.442379550274053,2.572325233227779,0.0713226701426513
StationArea,urban,3,2.333817784754637,3.723263815896813,0.759170807503544,-0.1060332659668539,241311,2.6186649856997524,4.252040910355741,0.1087757321003773
StationArea,urban,6,3.1592241770475917,4.827212927306958,0.5957510302000788,-0.081505547940595,240156,3.5999077119010265,5.581750323698949,0.1224152312006689
StationArea,urban,12,3.8828580838919446,5.77686196710618,0.422359814940721,-0.1421606073688418,237846,4.488024611071439,6.744969048736621,0.134840287124678
StationArea,urban,24,4.443403429208861,6.53661531211889,0.261168967194884,-0.1252925665669527,233226,4.915236289680107,7.427538672819089,0.0959939324711392
