Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.618522746094513,2.554363504061734,0.8846044619721344,0.04048457877831673,375906.0
Global,All,3,2.4853013653829117,3.7336709599071676,0.7529072620399085,0.23534561340656585,374872.0
Global,All,6,3.0119911773317187,4.558576761282966,0.6315762827656184,-0.05522380158459281,373321.0
Global,All,12,3.655853636848858,5.466695876653471,0.47063769982156856,-0.20044525321774218,370219.0
Global,All,24,4.178969940161942,6.2198031307803,0.3141235866137376,-0.3883808152157515,364015.0
Country,AT,1,1.4546563840840396,2.114837842525689,0.9203641812700756,0.18382670356958658,159831.0
Country,BE,1,1.6524911388606396,2.888188841920651,0.8754296284094569,-0.10236652641723631,82411.0
Country,ES,1,2.5128238472809907,3.577913085726641,0.7549065042795237,-0.039104714260465176,50638.0
Country,FI,1,0.970272468979137,1.5935026179536784,0.8505944380411737,-0.06747176834936533,44255.0
Country,FR,1,1.7937633161625235,2.733951364591495,0.8766799207359828,-0.0196160622732249,38771.0
Country,AT,3,2.2983687632378866,3.2938008209062777,0.8068274585837657,0.38488154398928986,159755.0
Country,BE,3,2.776701703179218,4.307551550821853,0.7203241917080552,0.09213862810999246,82099.0
Country,ES,3,3.3761227862037675,4.7800980237376365,0.5624024753845298,0.13366406308825196,50348.0
Country,FI,3,1.4706407292207584,2.2828564372078213,0.6930315617476519,0.06939571740375267,44113.0
Country,FR,3,2.636983012566877,3.9083589023330414,0.7485732355958954,0.24333503564944958,38557.0
Country,AT,6,2.8324118654753367,4.133548408512939,0.6957787796388175,0.06895726637543638,159641.0
Country,BE,6,3.4931321955061883,5.410647920514204,0.5573840821317457,-0.2851155909797287,81631.0
Country,ES,6,3.724696828996431,5.29631830734914,0.46350114409990506,-0.03475906613273698,49913.0
Country,FI,6,1.8030974073942267,2.7573903837104248,0.5524444872028603,-0.08223989612149214,43900.0
Country,FR,6,3.1921710543633006,4.869182337493693,0.6110439130609862,-0.07859295632178495,38236.0
Country,AT,12,3.585538972743449,5.228807319100639,0.5132980983138329,-0.19324776768459298,159413.0
Country,BE,12,4.25246412676206,6.44761475234234,0.37109949152686994,-0.338175947910363,80695.0
Country,ES,12,4.127032969492507,5.842032437674713,0.3490814308602731,-0.15868440672037878,49043.0
Country,FI,12,2.1731042450955167,3.2287828642806016,0.3873393891484991,-0.09800635802579649,43474.0
Country,FR,12,3.773388007007178,5.70560714316145,0.4683492444724847,-0.10826831214788296,37594.0
Country,AT,24,4.304032145997386,6.236402836847043,0.3073800881251164,-0.2556250824600677,158957.0
Country,BE,24,4.73267125503835,7.135466329736032,0.22667365198304523,-0.7578502698670154,78823.0
Country,ES,24,4.415005690874621,6.281525270619555,0.2513297609923776,-0.47644556855720926,47303.0
Country,FI,24,2.3669149777022325,3.4995154003666746,0.2803419466828644,-0.2678641417378817,42622.0
Country,FR,24,4.249041427314462,6.423708279765379,0.32531985825929854,-0.1942386179514018,36310.0
StationArea,rural,1,0.6889706318125417,1.164104539618653,0.8652965884537355,-0.049641102115966985,11062.0
StationArea,rural-nearcity,1,1.4067485276990153,1.9668409499314339,0.9226798459597053,0.33548549071060507,16840.0
StationArea,suburban,1,1.484790185331937,2.4835228029723186,0.8911962349013304,-0.03994565875619175,105923.0
StationArea,urban,1,1.7342457369926905,2.6649466350004314,0.8765477925087977,0.05927402105375582,242081.0
StationArea,rural,3,1.0534040107282476,1.67257107178398,0.721672482614194,0.12005344997100166,11026.0
StationArea,rural-nearcity,3,2.214964314275368,3.1092734774641695,0.8067109624628013,0.49300087625762806,16832.0
StationArea,suburban,3,2.3657023332308973,3.6274317680171873,0.7657361334850412,0.09061122222105643,105703.0
StationArea,urban,3,2.621973087650976,3.8845887214568986,0.7378489517587987,0.2860404319652447,241311.0
StationArea,rural,6,1.3174370798237167,2.0682810811132604,0.5752288037258745,0.026439877417762915,10972.0
StationArea,rural-nearcity,6,2.672439888342949,3.871814862933557,0.7001207516730279,0.25221077457477875,16820.0
StationArea,suburban,6,2.9333861942243655,4.501437280442507,0.6377867941847782,-0.23684622339025635,105373.0
StationArea,urban,6,3.1476810752464908,4.708208412453623,0.6154371153599228,-0.0007965293285854216,240156.0
StationArea,rural,12,1.6402282661515588,2.4194113554690064,0.42186560117942196,0.055472143992935256,10864.0
StationArea,rural-nearcity,12,3.3199516226774626,4.810959011297096,0.5368994564691201,0.09903989896572156,16796.0
StationArea,suburban,12,3.6010495674100915,5.465445559963783,0.46489409077892674,-0.400678298483217,104713.0
StationArea,urban,12,3.795768803723305,5.609310615729836,0.45538149264066796,-0.14512978165415308,237846.0
StationArea,rural,24,1.8659356553737245,2.7993390381349745,0.2322397809215685,-0.10904182523914425,10648.0
StationArea,rural-nearcity,24,3.980920157712714,5.712420550423091,0.34616674106150547,-0.020280676608954575,16748.0
StationArea,suburban,24,4.141203358036559,6.244423815698614,0.2980749114896335,-0.5952277055967833,103393.0
StationArea,urban,24,4.315536733943829,6.355557407668378,0.3015319171695352,-0.3358687545942579,233226.0
