baseline,Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
persistence,Global,All,1,1.294713738124957,2.4151903451941537,0.8968364344768465,-0.001568048901853123,375906.0
persistence,Global,All,3,2.427555939968576,4.02872243820713,0.7123114394048317,-0.003584817715113425,374872.0
persistence,Global,All,6,3.3857932300320632,5.331338948276352,0.4960799656337037,-0.00587584058089419,373321.0
persistence,Global,All,12,4.285033535315854,6.522903627047038,0.24632327137346577,-0.011235049505562922,370219.0
persistence,Global,All,24,4.768126708722168,7.279989960928528,0.06037588892882606,-0.011213380660961766,364015.0
persistence,Country,AT,1,0.9488810587783344,1.7018312897014798,0.9484311660208071,-0.0014199529409188447,159831.0
persistence,Country,BE,1,1.3149323724988167,2.73283711483506,0.8884701587516369,-0.0016579461479656822,82411.0
persistence,Country,ES,1,2.609660729096726,3.8688969590117304,0.713419562221396,-0.002369761838935187,50638.0
persistence,Country,FI,1,0.7154821418596768,1.4836699304108658,0.8704803105876029,-0.0010654952434753131,44255.0
persistence,Country,FR,1,1.6211472492326742,2.58433362279642,0.8898081732067481,-0.0015140182094864722,38771.0
persistence,Country,AT,3,2.016306737324654,3.283138368989479,0.8080760825865071,-0.0038352917123094746,159755.0
persistence,Country,BE,3,2.7091783563137186,4.598609002847274,0.6812524122801006,-0.0019023693954859377,82099.0
persistence,Country,ES,3,3.9009692539922143,5.738598839800241,0.36931429714148545,-0.00667355207754032,50348.0
persistence,Country,FI,3,1.3718299284020583,2.417252879645481,0.6558239091788449,-0.002907490626345972,44113.0
persistence,Country,FR,3,2.8157092097414216,4.292526275924142,0.6967166585942144,-0.0028710739943460305,38557.0
persistence,Country,AT,6,2.9915997430183974,4.596917196162219,0.6237497392600071,-0.007045965544565619,159641.0
persistence,Country,BE,6,3.9057016467395966,6.213427204844723,0.4162983648662918,-0.0034965500238879816,81631.0
persistence,Country,ES,6,4.754272434035221,6.917518528266093,0.084788838178258,-0.005850179312002885,49913.0
persistence,Country,FI,6,1.9206539573712984,3.153773831580413,0.4145207740852276,-0.006346761298405469,43900.0
persistence,Country,FR,6,3.8174155246364685,5.742556665473788,0.45899774418285166,-0.005562820378700702,38236.0
persistence,Country,AT,12,4.009265170225139,5.908959942584892,0.3784445801442785,-0.012023278324227013,159413.0
persistence,Country,BE,12,5.0249876618749605,7.80384864115767,0.07869917148249916,-0.009098464898692607,80695.0
persistence,Country,ES,12,5.312745957629019,7.629470279950348,-0.11016493655193504,-0.019431927084395326,49043.0
persistence,Country,FI,12,2.475175103625155,3.8336172681764555,0.136306229540765,-0.014295010820260384,43474.0
persistence,Country,FR,12,4.618335372665851,6.8774280511244426,0.22754210329716884,0.0017529392988242722,37594.0
persistence,Country,AT,24,4.667097371369615,6.917728720270481,0.1477761071867576,-0.023985158357291595,158957.0
persistence,Country,BE,24,5.750646361150933,8.869430272036091,-0.1948393975257059,0.0005524291767631356,78823.0
persistence,Country,ES,24,5.156226877787878,7.566356560550021,-0.08626042094799091,-0.035240893812231784,47303.0
persistence,Country,FI,24,2.7519672678358598,4.24194449742672,-0.05740250968955052,-0.015097228410210698,42622.0
persistence,Country,FR,24,4.938565133572019,7.4392701636206775,0.09512837517670081,0.05501790140457177,36310.0
persistence,StationArea,rural,1,0.44010269925872353,0.9690527031517323,0.9066553516053312,-0.00046712393780509644,11062.0
persistence,StationArea,rural-nearcity,1,0.8152773856888361,1.4390647439731254,0.958608144690514,-0.0008545308788598568,16840.0
persistence,StationArea,suburban,1,1.1227050898737763,2.2696380798711835,0.9091299349037922,-0.0009956694107984103,105923.0
persistence,StationArea,urban,1,1.4423795505417607,2.57232523524226,0.8849799415296293,-0.0019184366988735167,242081.0
persistence,StationArea,rural,3,0.9309843077543987,1.741264671283907,0.6983408097216895,-0.00039157962089606137,11026.0
persistence,StationArea,rural-nearcity,3,1.7833086172172055,2.9411204515730973,0.8270522164419596,-0.0020507486335551352,16832.0
persistence,StationArea,suburban,3,2.2499683070348047,3.820050411088779,0.7401965037163698,-0.00024255600219482817,105703.0
persistence,StationArea,urban,3,2.6186649872865306,4.2520409115259845,0.6859083588927859,-0.005301760514439869,241311.0
persistence,StationArea,rural,6,1.3308628254739334,2.2670087474524694,0.48968030152799424,-0.001263484861465549,10972.0
persistence,StationArea,rural-nearcity,6,2.6913089869797857,4.20188798418478,0.6468117971209908,-0.0041840160523186724,16820.0
persistence,StationArea,suburban,6,3.222630404672924,5.132064048578172,0.5291896419006373,0.0001125539084964842,105373.0
persistence,StationArea,urban,6,3.599907712966155,5.581750325223267,0.459498600913368,-0.0088325784848182,240156.0
persistence,StationArea,rural,12,1.73773300160162,2.7271278132885475,0.26545168553571985,-0.005962602430044177,10864.0
persistence,StationArea,rural-nearcity,12,3.6776482865563227,5.5309170007620985,0.38792271970414893,-0.010203465170278637,16796.0
persistence,StationArea,suburban,12,4.185665739592983,6.435577894017895,0.25806868128743077,-0.005887383762283572,104713.0
persistence,StationArea,urban,12,4.488024612020803,6.744969051053481,0.21253122950340764,-0.013903063592408534,237846.0
persistence,StationArea,rural,24,2.1137671259109694,3.2752657175708877,-0.051012020808931746,-0.011304347285875285,10648.0
persistence,StationArea,rural-nearcity,24,4.251853227609266,6.447953407011912,0.16695119978771278,-0.017442008060663955,16748.0
persistence,StationArea,suburban,24,4.793277247262387,7.369305384524356,0.022404641237552037,-0.01713742701053262,103393.0
persistence,StationArea,urban,24,4.915236291136494,7.427538676269035,0.046042298997033826,-0.008135719557424988,233226.0
