baseline,Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
persistence,Global,All,1,1.496741817080584,2.6438201895772275,0.8721826523035406,-0.003469181768608801,606635.0
persistence,Global,All,3,2.635573877293851,4.293955297283887,0.6630081211050264,-0.009989223873324809,601349.0
persistence,Global,All,6,3.563564237887879,5.577691533702379,0.4308522728028572,-0.009925214302177998,599587.0
persistence,Global,All,12,4.3826218242249455,6.670039904472658,0.18567956098843907,-0.011043870717710872,597887.0
persistence,Global,All,24,4.740158606156021,7.24361206991207,0.04152864485147778,-0.018162726103571735,592961.0
persistence,Country,AT,1,0.9453593118979216,1.698028184086463,0.9486389652345854,-0.001385439453348511,166029.0
persistence,Country,BE,1,1.3011431471477186,2.6222127018039076,0.8944196425668268,-0.003682129909485391,126057.0
persistence,Country,ES,1,2.4733535711274137,3.706297566373286,0.7415501894623051,-0.008572954436855271,142308.0
persistence,Country,FI,1,0.820660032164378,1.5420553698646675,0.8543068738285589,-0.000940626434177421,79889.0
persistence,Country,FR,1,1.8349467255717256,2.8496868407054996,0.8540273835327317,-0.0012474012474012473,92352.0
persistence,Country,AT,3,2.009277718255919,3.2893158022460276,0.8068241146388072,-0.0014485504759322876,165990.0
persistence,Country,BE,3,2.675111398782004,4.526365283482706,0.6859572820613093,-0.011964869033574592,125452.0
persistence,Country,ES,3,3.787048158316175,5.640914914328455,0.40014959491680935,-0.015442690459849005,139872.0
persistence,Country,FI,3,1.4700970780417069,2.5152311244781265,0.6140990595734925,-0.009527612282988308,79028.0
persistence,Country,FR,3,2.965714725240916,4.411133109683914,0.6514494873983043,-0.01486259298735262,91007.0
persistence,Country,AT,6,2.983251258200025,4.608330279707661,0.6199701627200332,-0.0011598585549108568,165969.0
persistence,Country,BE,6,3.854273740382774,6.1145028738852165,0.42672133901564413,-0.011455667978227559,125296.0
persistence,Country,ES,6,4.672247444042334,6.900473751809366,0.10148307718216443,-0.015490434494816137,138989.0
persistence,Country,FI,6,1.9989283724172642,3.272293306374434,0.3478421433985842,-0.016602861169996447,78684.0
persistence,Country,FR,6,3.8824454765082903,5.7371735596946225,0.40980543978190265,-0.009529062648236605,90649.0
persistence,Country,AT,12,4.013826428115695,5.945902124235686,0.36639495437439606,-0.0013561705752239037,165918.0
persistence,Country,BE,12,4.941045642737229,7.64684282544489,0.10343920915845262,-0.009329534734990803,125090.0
persistence,Country,ES,12,5.239086290748007,7.639348450549814,-0.09986721459330772,-0.025856150772143576,138381.0
persistence,Country,FI,12,2.51073194920806,3.9429582782563926,0.051272195663484954,-0.02686674314043466,78314.0
persistence,Country,FR,12,4.5978854342233655,6.763846407552607,0.1772185645741351,0.0052237647476270814,90184.0
persistence,Country,AT,24,4.695100994795802,6.981427536521843,0.12534191720459786,-0.012991192993303981,165770.0
persistence,Country,BE,24,5.553270497101647,8.588605212079067,-0.12938444731435328,-0.011923651924329277,124381.0
persistence,Country,ES,24,5.104769082182159,7.5631110177878975,-0.07176371364767631,-0.046220147506438776,136672.0
persistence,Country,FI,24,2.758023856801355,4.291957075025219,-0.11770881292669277,-0.02913709762421798,77364.0
persistence,Country,FR,24,4.851084777074369,7.210307844463468,0.067049677794077,0.016198436479149307,88774.0
persistence,StationArea,rural,1,0.4601212576271187,0.9645346623511393,0.9180954370266527,-0.0010618297380585522,16874.0
persistence,StationArea,rural-nearcity,1,0.811889155613995,1.434217296288894,0.9588101805506339,-0.0008454765607134682,17492.0
persistence,StationArea,suburban,1,1.2193306228956111,2.3672336077432146,0.9016939708696019,-0.0031663595065787187,143569.0
persistence,StationArea,urban,1,1.658391049206858,2.8095766130173465,0.8556623055645243,-0.003772404066246792,428700.0
persistence,StationArea,rural,3,0.965216375209959,1.746397220972155,0.7312867535719074,0.0009625907439394867,16789.0
persistence,StationArea,rural-nearcity,3,1.7770718721408967,2.940181804785922,0.8266902814180471,-0.003839568504117106,17488.0
persistence,StationArea,suburban,3,2.347824101226427,3.980898925838855,0.7221959790736697,-0.006482713546698027,142854.0
persistence,StationArea,urban,3,2.833970271786628,4.508117455506232,0.6285428139762299,-0.011856976337637725,424218.0
persistence,StationArea,rural,6,1.385965381242911,2.3132049025474806,0.5291810016138807,-0.00033674813443973267,16751.0
persistence,StationArea,rural-nearcity,6,2.6848302433947158,4.213880471362559,0.6424935206891611,-0.0023823616035685735,17486.0
persistence,StationArea,suburban,6,3.312593151748624,5.298073891332916,0.5069862666169491,-0.0047921371848165155,142655.0
persistence,StationArea,urban,6,3.770911808520517,5.8060503386085776,0.3835632096594075,-0.01234958609564816,422695.0
persistence,StationArea,rural,12,1.8084166639683394,2.8599696295875674,0.2819716682880097,-0.0002999490915632317,16677.0
persistence,StationArea,rural-nearcity,12,3.6746208619644185,5.552364879502594,0.3767172769695952,0.00070566077455522,17481.0
persistence,StationArea,suburban,12,4.251331704169825,6.590111057407246,0.2369435031662137,-0.0042408415382239805,142476.0
persistence,StationArea,urban,12,4.558317369239104,6.844871392998665,0.1428752471408432,-0.014257707358285875,421253.0
persistence,StationArea,rural,24,2.160984395212187,3.4034761349339018,-0.015825586491122978,-0.006474141893362354,16542.0
persistence,StationArea,rural-nearcity,24,4.277891916409024,6.501830621173649,0.14455299115188003,-0.008330453566930053,17466.0
persistence,StationArea,suburban,24,4.795394825484264,7.44821739099443,0.028495857789487267,-0.021335245993667717,141813.0
persistence,StationArea,urban,24,4.843014807500792,7.314114261777888,0.023004369669684666,-0.01795938542407825,417140.0
