feature,shap_mean,shap_std
PM2.5_rolling_mean_12h,1.2320884875636429,0.9976314261872559
surface_pressure,0.9671714097269188,0.7929114832562493
PM2.5_rolling_mean_3h,0.7876174828765925,0.6188820525806517
wind_v,0.7507625985882865,0.5706381110353705
PM2.5_rolling_mean_24h,0.7258510653980111,0.57054266799794
month_cos,0.47843441270750453,0.28702725455452266
wind_u,0.4299795364702894,0.39232365166186756
year,0.42294046410982244,0.24256604276332244
PM10,0.4097981729178267,0.2954496797055144
PM2.5_lag_12h,0.3992709783661534,0.278868095114748
Longitude,0.32628645651729166,0.3226132717382821
temperature_2m,0.3243269017829217,0.3548055354521619
Latitude,0.3180020182970214,0.37372396537444064
hour,0.30616655095038103,0.23998388336239715
dew_point_2m,0.2644680985507609,0.270257452293466
month_sin,0.25580153351372353,0.2095191249603936
Altitude,0.2243389583685006,0.1646801393868921
PM2.5_rolling_mean_6h,0.2086012983848183,0.18358225459658292
day_of_month,0.20087560000323482,0.2059497749274131
month,0.19881948553349205,0.16291352048485896
day_of_week,0.16165673172911663,0.16717084655666195
hour_sin,0.15738282598740244,0.1557302922658503
StationType_background,0.13301403652147875,0.0751252284750162
NO2,0.12886203970719393,0.09580807829143055
relative_humidity_2m,0.1213479536198615,0.15270203788568074
hour_cos,0.10510441849672436,0.10475115343642544
NO2_lag_12h,0.1044521813842817,0.09631933202357246
PM10_rolling_mean_24h,0.10267063277767911,0.08095189110037548
NO2_rolling_mean_12h,0.0924835522423903,0.08880525089584367
precipitation,0.0903431552404935,0.12785514819385974
StationType_traffic,0.0818618639169773,0.049528982940835034
StationArea_urban,0.07383402849205907,0.06051284973612435
PM2.5_lag_24h,0.07138024416831922,0.08357626256150809
PM2.5_lag_2h,0.06634603221410293,0.07166109627183682
NO2_lag_1h,0.06554829750876648,0.05050682551926759
PM2.5_rolling_std_24h,0.060448534162465845,0.07867584235416822
PM10_lag_2h,0.06025498617758765,0.04486061765630301
PM10_lag_1h,0.053295000039604676,0.04930661333355449
NO2_lag_6h,0.05266357602133436,0.03909058747911418
PM10_rolling_mean_12h,0.051707048763796705,0.045227241414677107
NO2_rolling_std_24h,0.050436623438752666,0.05083666314226528
PM2.5_rolling_std_12h,0.047286637681290225,0.0747367910039324
PM10_lag_6h,0.046462206086455744,0.045095209472801455
PM10_lag_3h,0.044635487030559313,0.03906977294035304
PM2.5_lag_168h,0.04380292987564335,0.05299456227122883
PM10_rolling_std_12h,0.043596548612855196,0.03575774405840488
PM2.5_lag_6h,0.04276922116514358,0.046728122459646235
PM10_lag_12h,0.04106038457293704,0.044743606951298635
PM2.5_lag_1h,0.04054774864960539,0.058326511018237326
NO2_rolling_mean_24h,0.03902625106369879,0.047867651888902636
PM10_lag_24h,0.03681372457746157,0.0447024200795034
PM10_rolling_std_24h,0.03642296202752024,0.04604468706412186
PM2.5_lag_3h,0.03620437717031165,0.035054440310629986
NO2_lag_24h,0.036144021064375906,0.04430578402106998
PM10_rolling_mean_6h,0.03570281777656218,0.03680644112559052
PM10_rolling_std_3h,0.03443285089778945,0.04057228662391591
PM10_lag_168h,0.03163986589844641,0.04348355254756186
NO2_lag_168h,0.02786209661033106,0.037349408693216235
NO2_rolling_std_6h,0.0275743127535489,0.030857216950112246
NO2_lag_2h,0.026701167215899057,0.02273568447066586
PM2.5_rolling_std_3h,0.02582205751219024,0.034471980183334416
NO2_rolling_std_12h,0.024521401479869833,0.0351651891308249
is_weekend,0.023908893244109285,0.024729198621614757
PM2.5_rolling_std_6h,0.020461143521769115,0.026619928333496863
PM10_rolling_std_6h,0.017317771278585862,0.021082246405265535
PM10_rolling_mean_3h,0.01709582643558761,0.020527502639290818
NO2_lag_3h,0.014367797550847964,0.025505015646709372
NO2_rolling_mean_6h,0.01400160431186154,0.016484037096634704
NO2_rolling_mean_3h,0.013110253524541414,0.014989855478878655
StationArea_suburban,0.0102001930944156,0.020809952373538197
NO2_rolling_std_3h,0.009938390558787315,0.016534300525018107
StationArea_rural-nearcity,0.004748968706460759,0.014626299821611436
StationArea_rural,0.003031169122369569,0.010187424489257288
StationType_industrial,0.0013984424634719385,0.003912881178140572
