Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.29308021068573,2.3376091426725405,0.9033576846122742,-0.0120668038725852,375906.0,-0.001633527439226956,-0.07758120252161316
Global,All,3,2.3349688053131104,3.726509909588623,0.7538541555404663,-0.056030448526144,374872.0,-0.09258713465546586,-0.3022125286185071
Global,All,6,3.0838377475738525,4.637432605839793,0.6187198162078857,-0.1647915095090866,373321.0,-0.3019554824582107,-0.6939063424365592
Global,All,12,3.7160234451293945,5.479307958524115,0.4681923389434814,-0.2754010558128357,370219.0,-0.5690100901864596,-1.043595668522923
Global,All,24,4.155844688415527,6.056083823365952,0.3497559428215027,-0.1910105496644973,364015.0,-0.6122820203066404,-1.223906137562576
Country,AT,1,0.9707711935043336,1.6634656525285798,0.9507300853729248,-0.0200384017080068,159831.0,0.02189013472599921,-0.03836563717289998
Country,BE,1,1.3408867120742798,2.7948979897214885,0.8833470940589905,-0.0377762839198112,82411.0,0.025954339575462892,0.06206087488642842
Country,ES,1,2.43619966506958,3.559775799967284,0.7573851346969604,0.0860819369554519,50638.0,-0.1734610640271459,-0.30912115904444537
Country,FI,1,0.8332841396331787,1.4731430746595384,0.8723117113113403,-0.0189884882420301,44255.0,0.11780199777350187,-0.01052685575132739
Country,FR,1,1.5519907474517822,2.437536679505424,0.9019709825515748,-0.0448460392653942,38771.0,-0.06915650178089194,-0.14679694329099613
Country,AT,3,1.9652233123779297,3.072758367739193,0.8318845629692078,-0.0937017202377319,159755.0,-0.05108342494672424,-0.2103800012502859
Country,BE,3,2.6353228092193604,4.463418193995192,0.6997181177139282,-0.1004830002784729,82099.0,-0.07385554709435826,-0.1351908088520819
Country,ES,3,3.4389569759368896,4.936725217655302,0.5332555770874023,0.1589912474155426,50348.0,-0.46201227805532463,-0.8018736221449396
Country,FI,3,1.645977258682251,2.444811394872873,0.6479314565658569,-0.0738588199019432,44113.0,0.27414733028019267,0.027558515227392277
Country,FR,3,2.5740909576416016,3.848692406882869,0.7561913728713989,-0.0656724572181701,38557.0,-0.24161825209982002,-0.44383386904127287
Country,AT,6,2.7257704734802246,4.076080862289517,0.7041789889335632,-0.2214184403419494,159641.0,-0.26582926953817276,-0.520836333872702
