Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.4924430847167969,2.4974765439693325,0.885941207408905,-0.068315178155899,606635.0,-0.004298732363787083,-0.14634364560789503
Global,All,3,2.479881525039673,3.848257259929309,0.7293347120285034,-0.2186771184206009,601349.0,-0.155692352254178,-0.4456980373545778
Global,All,6,3.1750762462615967,4.775456128129485,0.5827986001968384,-0.4120702743530273,599587.0,-0.38848799162628245,-0.802235405572894
Global,All,12,3.7209837436676025,5.52603006556447,0.4410601854324341,-0.6083825826644897,597887.0,-0.661638080557343,-1.1440098389081879
Global,All,24,4.093210220336914,6.029260178662217,0.3359559178352356,-0.4770627915859222,592961.0,-0.6469483858191065,-1.2143518912498523
Country,AT,1,1.0282831192016602,1.7155385619243133,0.9475741982460022,-0.0743747428059578,166029.0,0.0829238073037386,0.017510377837850255
Country,BE,1,1.3875993490219116,2.580389981478081,0.8977606892585754,-0.0972512736916542,126057.0,0.086456201874193,-0.041822720325827234
Country,ES,1,2.2717478275299072,3.35646576995875,0.7880369424819946,-0.0131158353760838,142308.0,-0.2016057435975065,-0.34983179641453566
Country,FI,1,0.9274972677230836,1.5581007251768908,0.851259171962738,-0.0941617041826248,79889.0,0.10683723555870561,0.016045355312223286
Country,FR,1,1.7578636407852173,2.6706238432885505,0.871795654296875,-0.080624520778656,92352.0,-0.07708308478650827,-0.17906299741694953
Country,AT,3,2.0221729278564453,3.1349708180993443,0.8245276212692261,-0.2357359677553177,165990.0,0.012895209600526147,-0.15434498414668374
Country,BE,3,2.6144678592681885,4.193119434870986,0.7304967641830444,-0.2816814482212066,125452.0,-0.060643539513815625,-0.33324584861172024
Country,ES,3,3.237898826599121,4.757091649261412,0.5733940601348877,-0.1284018009901046,139872.0,-0.5491493317170537,-0.8838232650670435
Country,FI,3,1.6694073677062988,2.523350575370117,0.6116035580635071,-0.28306645154953,79028.0,0.19931028966459197,0.00811945089199062
Country,FR,3,2.6679494380950928,3.921967889058085,0.7244670391082764,-0.1835462301969528,91007.0,-0.2977652871458232,-0.489165220625829
Country,AT,6,2.7859010696411133,4.156012965735586,0.6909104585647583,-0.4341463446617126,165969.0,-0.19735018855891173,-0.45231731397207486
Country,BE,6,3.499854326248169,5.371069602218444,0.5576510429382324,-0.4956468939781189,125296.0,-0.35441941413460487,-0.7434332716667722
Country,ES,6,3.78775691986084,5.515551688163631,0.4259544014930725,-0.3219002783298492,138989.0,-0.8844905241814942,-1.3849220636457344
Country,FI,6,2.210479497909546,3.2161798678719578,0.370016872882843,-0.5317940711975098,78684.0,0.21155112549228194,-0.05611343850247641
Country,FR,6,3.336576461791992,4.870295088207266,0.5746859312057495,-0.2904637157917022,90649.0,-0.5458690147162972,-0.8668784714873574
Country,AT,12,3.458753824234009,5.097573185386463,0.534295916557312,-0.5967314839363098,165918.0,-0.555072603881686,-0.8483289388492228
Country,BE,12,4.183364391326904,6.347631610529102,0.3822129368782043,-0.7033297419548035,125090.0,-0.7576812514103244,-1.299211214915788
Country,ES,12,4.1285400390625,5.989167289105768,0.3239784836769104,-0.5506153106689453,138381.0,-1.1105462516855074,-1.6501811614440465
Country,FI,12,2.688663482666016,3.802842337041212,0.117501676082611,-0.7565637230873108,78314.0,0.1779315334579561,-0.14011594121518112
Country,FR,12,3.8331644535064697,5.5817712145301535,0.4396735429763794,-0.4580834507942199,90184.0,-0.7647209807168958,-1.1820751930224533
Country,AT,24,4.046861171722412,5.858997058123482,0.3839777708053589,-0.4517129361629486,165770.0,-0.6482398230733901,-1.1224304783983614
Country,BE,24,4.595578670501709,6.938833847350202,0.2628268599510193,-0.4957714080810547,124381.0,-0.9576918265999383,-1.6497713647288643
Country,ES,24,4.356408596038818,6.28776705650621,0.2592170834541321,-0.4661450982093811,136672.0,-0.7483604861433406,-1.2753439612816875
Country,FI,24,2.939178943634033,4.113598875586743,-0.0267432928085327,-0.7300512790679932,77364.0,0.18115508683267834,-0.17835819943847575
Country,FR,24,4.076381206512451,5.969600277399135,0.36049884557724,-0.2945225238800049,88774.0,-0.7747035705619174,-1.2407075670643337
