Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.8567746877670288,2.91788197583702,0.8443097472190857,0.5497593879699707,606635.0,0.36003287068644485,0.2740617862597925
Global,All,3,2.775186061859131,4.141455455488435,0.6865196228027344,0.4213610291481018,601349.0,0.13961218456528002,-0.15249984179545173
Global,All,6,3.793153762817383,5.47663337346036,0.451289415359497,0.7248603701591492,599587.0,0.22958952492950369,-0.10105816024201886
Global,All,12,3.71903133392334,5.517150840756323,0.4428550004959106,-0.4250167310237884,597887.0,-0.6635904903016057,-1.1528890637163345
Global,All,24,5.546987056732178,7.964326715455462,-0.158689260482788,1.618798017501831,592961.0,0.8068284505761572,0.7207146455433922
Country,AT,1,1.02520751953125,1.7050681971449948,0.948212206363678,-0.05898392572999,166029.0,0.07984820763332845,0.007040013058531747
Country,BE,1,1.38069486618042,2.5683991983901686,0.8987086415290833,-0.0777308419346809,126057.0,0.0795517190327013,-0.05381350341373947
Country,ES,1,2.264056921005249,3.344890934601588,0.7894963622093201,0.0037638749927282,142308.0,-0.2092966501221647,-0.36140663177169774
Country,FI,1,0.926023542881012,1.544494261079242,0.8538456559181213,-0.0859279483556747,79889.0,0.10536351071663397,0.0024388912145745234
Country,FR,1,4.179136276245117,4.731976093325359,0.5975033044815063,3.891890525817871,92352.0,2.3441895506733914,1.8822892526198594
Country,AT,3,2.010333299636841,3.126333333719453,0.8254932165145874,-0.2169450372457504,165990.0,0.0010555813809216552,-0.16298246852657483
Country,BE,3,2.611092567443848,4.188931348626504,0.7310348749160767,-0.258665382862091,125452.0,-0.064018831338156,-0.3374339348562021
Country,ES,3,3.234771728515625,4.755388115126701,0.5736995935440063,-0.1097940430045127,139872.0,-0.5522764298005498,-0.8855267992017541
Country,FI,3,1.6407184600830078,2.496000715023329,0.6199773550033569,-0.2659088969230652,79028.0,0.17062138204130095,-0.01923040945479748
Country,FR,3,4.675206184387207,5.581399079624674,0.4419776797294616,3.9361495971679688,91007.0,1.709491459146291,1.1702659699407603
Country,AT,6,2.766343832015991,4.141837234106155,0.693015456199646,-0.3704878985881805,165969.0,-0.2169074261840338,-0.4664930456015064
Country,BE,6,3.5036959648132324,5.383466218581791,0.5556067228317261,-0.4266550540924072,125296.0,-0.3505777755695414,-0.7310366553034253
Country,ES,6,3.7884926795959473,5.512830853210833,0.4265206456184387,-0.254550039768219,138989.0,-0.8837547644463868,-1.387642898598533
Country,FI,6,2.1693344116210938,3.174457119162867,0.3862560391426086,-0.4704756140708923,78684.0,0.1704060392038298,-0.09783618721156717
Country,FR,6,7.489859104156494,8.460258026877646,-0.2834130525588989,6.861224174499512,90649.0,3.6074136276482047,2.723084467183023
Country,AT,12,3.4370243549346924,5.069312515748483,0.5394452810287476,-0.4634726047515869,165918.0,-0.5768020731810024,-0.8765896084872029
Country,BE,12,4.198204517364502,6.354499016079972,0.3808754682540893,-0.5674445033073425,125090.0,-0.7428411253727267,-1.292343809364918
Country,ES,12,4.122973442077637,5.978152553496846,0.3264627456665039,-0.4330090880393982,138381.0,-1.1161128486703706,-1.661195897052968
Country,FI,12,2.6285862922668457,3.746943308865384,0.1432551741600036,-0.6484638452529907,78314.0,0.11785434305878573,-0.19601496939100915
Country,FR,12,3.900320529937744,5.610919197921627,0.4338062405586242,0.0495888032019138,90184.0,-0.6975649042856213,-1.1529272096309802
Country,AT,24,4.041325569152832,5.848953296889064,0.386087954044342,-0.4100901782512665,165770.0,-0.6537754256429702,-1.1324742396327787
Country,BE,24,4.606301307678223,6.939305525889505,0.2627266049385071,-0.4462332725524902,124381.0,-0.9469691894234247,-1.6492996861895612
Country,ES,24,4.353275299072266,6.284655203090184,0.2599501609802246,-0.4150282442569732,136672.0,-0.7514937831098933,-1.2784558146977139
Country,FI,24,2.8909263610839844,4.07040387598369,-0.0052937269210815,-0.6964734196662903,77364.0,0.1329025042826295,-0.22155319904152915
Country,FR,24,13.828998565673828,14.733781594294094,-2.8956446647644043,13.449575424194336,88774.0,8.977913788599459,7.523473749830625
StationArea,rural,1,0.6418954133987427,1.075624357818465,0.8981423377990723,-0.1231348291039466,16874.0,0.18177415577162398,0.11108969546732583
StationArea,rural-nearcity,1,0.9243869185447692,1.492615643338979,0.9553875923156738,-0.041639719158411,17492.0,0.11249776293077418,0.058398347050085064
StationArea,suburban,1,1.2860164642333984,2.3000811562525136,0.9071922302246094,-0.0857176557183265,143569.0,0.06668584133778732,-0.06715245149070093
StationArea,urban,1,2.133780241012573,3.18428775267269,0.8145945072174072,0.8131929636001587,428700.0,0.4753891918057147,0.3747111396553433
StationArea,rural,3,1.2981027364730835,1.936060955553984,0.6697512865066528,-0.3113726377487182,16789.0,0.33288636126312454,0.18966373458182906
StationArea,rural-nearcity,3,1.842706322669983,2.864351205379464,0.8355146646499634,-0.175045907497406,17488.0,0.06563445052908601,-0.07583059940645764
StationArea,suburban,3,2.312847137451172,3.7055488733793447,0.7592970728874207,-0.2913436591625213,142854.0,-0.034976963775255054,-0.2753500524595105
StationArea,urban,3,3.0277745723724365,4.382100038877755,0.6490195989608765,0.7149472236633301,424218.0,0.19380430058580833,-0.12601741662847754
StationArea,rural,6,1.7693431377410889,2.5439256312218523,0.4305775761604309,-0.4983703196048736,16751.0,0.38337775649817796,0.23072072867437132
StationArea,rural-nearcity,6,2.5492961406707764,3.8327409590627615,0.7042406797409058,-0.3198553919792175,17486.0,-0.13553410272393984,-0.3811395122997978
StationArea,suburban,6,3.053785800933838,4.701752826848237,0.6117222309112549,-0.4889704287052154,142655.0,-0.2588073508147861,-0.5963210644846795
StationArea,urban,6,4.174339294433594,5.849831746608021,0.3742315769195556,1.2262083292007446,422695.0,0.40342748591307664,0.04378140799944319
StationArea,rural,12,2.213690996170044,3.0915818757171376,0.1609646677970886,-0.6401553153991699,16677.0,0.4052743322017043,0.2316122461295702
StationArea,rural-nearcity,12,3.167866945266724,4.72129015730994,0.5493384599685669,-0.382144570350647,17481.0,-0.5067539166976944,-0.8310747221926542
StationArea,suburban,12,3.6599276065826416,5.544284957311106,0.4599146842956543,-0.639397144317627,142476.0,-0.5914040975871835,-1.0458261000961402
StationArea,urban,12,3.821489095687866,5.612684373439726,0.4236919283866882,-0.3457709848880768,421253.0,-0.7368282735512377,-1.232187019558939
StationArea,rural,24,2.508403778076172,3.4481157934920907,-0.042647361755371,-0.7150545716285706,16542.0,0.3474193828639849,0.044639658558188966
StationArea,rural-nearcity,24,3.745129346847534,5.451674653788661,0.3985746502876282,-0.3144677579402923,17466.0,-0.5327625695614895,-1.0501559673849883
StationArea,suburban,24,4.095253944396973,6.141420113917057,0.3394927382469177,-0.5807691216468811,141813.0,-0.7001408810872913,-1.306797277077373
