Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.2876780629509723,2.307164241038798,0.9058586027658349,-0.0298991366955245,375906.0,-0.0070356751739846235,-0.10802610415535563
Global,All,3,2.3357861670196893,3.690089598955183,0.7586419872820659,-0.1100738728257229,374872.0,-0.09176977294888689,-0.3386328392519471
Global,All,6,3.0843303169755303,4.660373401183032,0.6149381739610316,-0.2176001813711241,373321.0,-0.30146291305653294,-0.6709655470933207
Global,All,12,3.694115738944953,5.472102678944654,0.4695900561172086,-0.3687702728808902,370219.0,-0.5909177963709014,-1.050800948102384
Global,All,24,4.155592241997173,6.092551445659858,0.3419013473156312,-0.580034366875372,364015.0,-0.6125344667249948,-1.1874385152686706
Country,AT,1,0.9518515838203172,1.6543991024981013,0.9512656840279956,-0.0510405732475477,159831.0,0.0029705250419828078,-0.047432187203378495
Country,BE,1,1.3339745642649958,2.6105104432687183,0.8982312454984319,-0.0516529921240447,82411.0,0.01904219176617894,-0.1223266715663418
Country,ES,1,2.48234251073297,3.6287378096775593,0.7478938762048248,0.0377389638062707,50638.0,-0.1273182183637558,-0.24015914933417015
Country,FI,1,0.786361268208831,1.4555988577556735,0.8753349783737101,-0.0490295263337017,44255.0,0.07087912634915416,-0.028071072655192264
Country,FR,1,1.5855939655758815,2.4948496812443866,0.8973069636832138,0.0369903215463013,38771.0,-0.03555328365679267,-0.08948394155203365
Country,AT,3,1.9579062039456931,3.0901612521169795,0.8299749107605371,-0.1690263247262946,159755.0,-0.058400533378960784,-0.19297711687249963
Country,BE,3,2.642267747805007,4.238161239743249,0.7292622053827335,-0.1580618896684083,82099.0,-0.06691060850871144,-0.36044776310402504
Country,ES,3,3.488055975059785,4.99792459395198,0.5216115865833915,0.0504471187839838,50348.0,-0.41291327893242924,-0.7406742458482611
Country,FI,3,1.5481479835966765,2.384306194065724,0.6651420771029033,-0.1694188479431886,44113.0,0.17631805519461818,-0.032946685579756885
Country,FR,3,2.645379369035645,3.931387224413577,0.745601658478054,0.0946539625850895,38557.0,-0.17032984070577672,-0.3611390515105648
Country,AT,6,2.723813970343836,4.10595046825279,0.6998275294111509,-0.2944634241458809,159641.0,-0.26778577267456116,-0.49096672790942897
Country,BE,6,3.5886607523812963,5.47535527229215,0.5467340571849811,-0.2962115023328059,81631.0,-0.3170408943583003,-0.7380719325525726
Country,ES,6,4.013045569958,5.674957237410333,0.3840494708522716,-0.0131600561241433,49913.0,-0.7412268640772215,-1.2425612908557602
Country,FI,6,2.124731414093681,3.0777153056495674,0.4424198710229807,-0.3285140508460599,43900.0,0.20407745672238242,-0.07605852593084572
Country,FR,6,3.4022406563003016,4.974777073589829,0.5939909205316242,0.1316137683026157,38236.0,-0.41517486833616735,-0.7677795918839587
Country,AT,12,3.4175087695803903,5.024718278215041,0.5505501909359836,-0.436950347531245,159413.0,-0.5917564006447487,-0.884241664369851
Country,BE,12,4.320682502186319,6.518142696549496,0.3572656444010585,-0.5235316530124399,80695.0,-0.7043051596886416,-1.285705944608174
Country,ES,12,4.315927156852228,6.077888238800821,0.2954624332552017,-0.1426850936586056,49043.0,-0.9968188007767909,-1.5515820411495271
Country,FI,12,2.598517131787117,3.6457273031428032,0.2188927956931845,-0.5216039192532353,43474.0,0.12334202816196216,-0.18788996503365274
Country,FR,12,3.977897680922511,5.75021185619045,0.4600041807184443,0.1343327304639319,37594.0,-0.6404376917433403,-1.1272161949339923
Country,AT,24,4.039263248283473,5.821385836273696,0.3964970164845101,-0.6724488796410704,158957.0,-0.6278341230861422,-1.096342883996785
Country,BE,24,4.785308385681078,7.210666066738288,0.2102877890154997,-0.7728439098515044,78823.0,-0.965337975469855,-1.6587642052978033
Country,ES,24,4.456742930480092,6.301908452298635,0.2464630916784655,-0.3357422721690385,47303.0,-0.6994839473077858,-1.2644481082513863
Country,FI,24,2.963323259823997,4.076486383578,0.0234772504878856,-0.7670750241240626,42622.0,0.2113559919881367,-0.16545811384872078
Country,FR,24,4.305048309224643,6.297378929571303,0.3515955875801473,0.1443957694249549,36310.0,-0.6335168243473754,-1.1418912340493739
StationArea,rural,1,0.5312095373579618,0.9761639338931474,0.90528033679673,-0.0726013679253012,11062.0,0.09110683809923836,0.007111230741414953
StationArea,rural-nearcity,1,0.8422870482392439,1.4263791153719776,0.9593346823370864,-0.0257041546205365,16840.0,0.02700966255040782,-0.012685628601147858
