Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.3108904361724854,2.293545340157015,0.906966745853424,0.0558650605380535,375906.0,0.016176698047528415,-0.12164500503713871
Global,All,3,2.339691638946533,3.665002893340047,0.76191246509552,0.1462408900260925,374872.0,-0.08786430102204301,-0.36371954486708313
Global,All,6,3.034576416015625,4.564883928776626,0.6305561065673828,0.1987631171941757,373321.0,-0.35121681401643823,-0.7664550194997259
Global,All,12,3.656150579452514,5.37461248375973,0.4883211851119995,0.2309913337230682,370219.0,-0.62888295586334,-1.1482911432873077
Global,All,24,4.246850967407227,6.0479483033852,0.3515017628669739,0.4591560363769531,364015.0,-0.5212757413149411,-1.232041657543328
Country,AT,1,0.9971634149551392,1.705513285790651,0.9482077956199646,0.0023811585269868,159831.0,0.048282356176804764,0.003681996089171191
Country,BE,1,1.366299748420715,2.622571003028149,0.8972887396812439,0.0306120831519365,82411.0,0.05136737592189822,-0.11026611180691104
Country,ES,1,2.451995849609375,3.5006463952577884,0.7653780579566956,0.2160270810127258,50638.0,-0.15766487948735097,-0.36825056375394105
Country,FI,1,0.8013944625854492,1.4473298711069085,0.8767473697662354,0.1112749651074409,44255.0,0.08591232072577237,-0.03634005930395734
Country,FR,1,1.577621579170227,2.4484230221221104,0.9010934233665466,0.0575946941971778,38771.0,-0.04352567006244712,-0.13591060067430982
Country,AT,3,2.0071253776550293,3.1400126149598404,0.8244448304176331,0.056604903191328,159755.0,-0.009181359669624634,-0.14312575402963867
Country,BE,3,2.662328004837036,4.232938515782335,0.7299290895462036,0.0626671686768531,82099.0,-0.046850351476682484,-0.3656704870649392
Country,ES,3,3.4281914234161377,4.829602259337557,0.5532917380332947,0.4313290417194366,50348.0,-0.4727778305760766,-0.9089965804626843
Country,FI,3,1.4755327701568604,2.326133746932485,0.6812825202941895,0.2862099707126617,44113.0,0.10370284175480204,-0.09111913271299565
Country,FR,3,2.5979561805725098,3.865588294851821,0.7540460228919983,0.163177877664566,38557.0,-0.21775302916891182,-0.42693798107232084
Country,AT,6,2.736152410507202,4.095170102341814,0.7014017105102539,0.1026296839118003,159641.0,-0.2554473325111952,-0.5017470938204056
Country,BE,6,3.511704444885254,5.326352716837307,0.5710681080818176,0.1003414392471313,81631.0,-0.3939972018543427,-0.887074488007416
Country,ES,6,3.9725046157836914,5.526303595813884,0.4158960580825805,0.4624741077423095,49913.0,-0.78176781825153,-1.3912149324522094
Country,FI,6,1.9179331064224243,2.868319836115034,0.5157098770141602,0.3804976344108581,43900.0,-0.0027208509488740873,-0.285453995465379
Country,FR,6,3.319599151611328,4.853442726125071,0.6135544776916504,0.2573559284210205,38236.0,-0.4978163730251408,-0.8891139393487162
Country,AT,12,3.461139440536499,5.024946161237933,0.5505094528198242,0.1489934027194976,159413.0,-0.5481257296886399,-0.8840137813469591
Country,BE,12,4.273476600646973,6.340628320985454,0.3917972445487976,0.1153047829866409,80695.0,-0.7515110612279878,-1.4632203201722165
Country,ES,12,4.28732967376709,5.967958727410094,0.3207176327705383,0.4165785610675812,49043.0,-1.0254162838619294,-1.6615115525402535
Country,FI,12,2.30097770690918,3.328745609499721,0.3488162755966186,0.3635613322257995,43474.0,-0.17419739671597467,-0.504871658676735
Country,FR,12,3.901726722717285,5.64139118432935,0.480249285697937,0.4316020905971527,37594.0,-0.716608649948566,-1.236036866795093
Country,AT,24,4.207873821258545,5.886391816050011,0.382943332195282,0.3043916523456573,158957.0,-0.4592235501110702,-1.0313369042204696
Country,BE,24,4.873648643493652,7.055724007638951,0.2438616752624511,0.2989460825920105,78823.0,-0.8769977176572805,-1.8137062643971396
Country,ES,24,4.645266056060791,6.3180870787538845,0.2425890564918518,0.643820583820343,47303.0,-0.5109608217270871,-1.2482694817961368
