Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.43992817401886,2.4348483211893277,0.891589879989624,0.0441232249140739,606635.0,-0.05681364306172387,-0.20897186838789983
Global,All,3,2.410459280014038,3.750217049992988,0.7429502010345459,0.1005977392196655,601349.0,-0.22511459727981276,-0.5437382472908987
Global,All,6,3.1414568424224854,4.700087469382738,0.5958636999130249,0.2300290912389755,599587.0,-0.4221073954653938,-0.877604064319641
Global,All,12,3.6599373817443848,5.379361888948854,0.4703364372253418,0.270800232887268,597887.0,-0.7226844424805607,-1.2906780155238033
Global,All,24,4.082585334777832,5.926880987788451,0.3583159446716308,0.2744838893413543,592961.0,-0.6575732713781886,-1.316731082123619
Country,AT,1,0.968219757080078,1.6744807961684902,0.950053572654724,0.0025891922414302,166029.0,0.022860445182156464,-0.02354738791797284
Country,BE,1,1.3179086446762085,2.48677014709147,0.9050448536872864,0.0078606707975268,126057.0,0.01676549752848988,-0.13544255471243805
Country,ES,1,2.252298593521118,3.2984324749321474,0.7953032851219177,0.1176445037126541,142308.0,-0.22105497760629556,-0.40786509144113836
Country,FI,1,0.8450986742973328,1.4791761406966712,0.8659462928771973,0.0232077855616807,79889.0,0.02443864213295477,-0.06287922916799626
Country,FR,1,1.7172610759735107,2.6083281467211488,0.8777070045471191,0.0730911865830421,92352.0,-0.11768564959821481,-0.24135869398435128
Country,AT,3,1.9758321046829224,3.0979447104222197,0.8286480903625488,0.0161484647542238,165990.0,-0.0334456135729968,-0.1913710918238083
Country,BE,3,2.5705511569976807,4.115987468911717,0.7403205633163452,0.0111727761104702,125452.0,-0.10456024178432344,-0.4103778145709889
Country,ES,3,3.17344069480896,4.601329959505212,0.6008734703063965,0.2447998225688934,139872.0,-0.6136074635072148,-1.0395849548232432
Country,FI,3,1.471583604812622,2.347961507491471,0.6637192964553833,0.0807770937681198,79028.0,0.0014865267709152086,-0.16726961698665566
Country,FR,3,2.62514066696167,3.8400594470270457,0.7358556389808655,0.1734804213047027,91007.0,-0.34057405827924603,-0.5710736626568682
Country,AT,6,2.7852649688720703,4.139834000949787,0.6933122873306274,0.1193018555641174,165969.0,-0.1979862893279547,-0.4684962787578737
Country,BE,6,3.4712917804718018,5.278702883481896,0.5727344155311584,0.1058098897337913,125296.0,-0.38298195991097206,-0.8357999904033209
Country,ES,6,3.833493947982788,5.454370219854833,0.4386190176010132,0.3792745471000671,138989.0,-0.838753496059546,-1.4461035319545328
Country,FI,6,1.9345685243606567,2.9270989540923176,0.4781771302223205,0.3173196315765381,78684.0,-0.06435984805660722,-0.3451943522821166
Country,FR,6,3.324216604232788,4.813728869205318,0.5845081806182861,0.2998547852039337,90649.0,-0.5582288722755013,-0.9234446904893057
Country,AT,12,3.483084201812744,5.056376203133741,0.5417928695678711,0.1658378094434738,165918.0,-0.5307422263029506,-0.8895259211019448
Country,BE,12,4.146646022796631,6.172350592336504,0.4158604741096496,0.1439311206340789,125090.0,-0.7943996199405978,-1.4744922331083856
Country,ES,12,4.135129928588867,5.855543669258872,0.3538073301315307,0.3638787269592285,138381.0,-1.1039563621591402,-1.783804781290942
Country,FI,12,2.250152349472046,3.318856384526278,0.3278376460075378,0.2999313175678253,78314.0,-0.2605795997360141,-0.6241018937301148
Country,FR,12,3.805294990539551,5.457791231137434,0.464288592338562,0.4717620611190796,90184.0,-0.7925904436838147,-1.3060551764151729
Country,AT,24,4.150640964508057,5.86331215379514,0.3830700516700744,0.2349644899368286,165770.0,-0.5444600302877456,-1.1181153827267032
Country,BE,24,4.631808757781982,6.82476151157983,0.2868654131889343,0.1840752959251403,124381.0,-0.9214617393196649,-1.7638437004992369
Country,ES,24,4.387231349945068,6.190891453854461,0.2818676829338074,0.3088736832141876,136672.0,-0.7175377322370906,-1.3722195639334362
Country,FI,24,2.4868972301483154,3.638632036483468,0.1966695189476013,0.122581772506237,77364.0,-0.27112662665303944,-0.6533250385417508
Country,FR,24,4.107570171356201,5.885173673311525,0.3784595131874084,0.5543840527534485,88774.0,-0.7435146057181674,-1.3251341711519435
StationArea,rural,1,0.5280278921127319,0.9785795514512472,0.9156928062438964,0.0263082757592201,16874.0,0.06790663448561324,0.014044889100108038
StationArea,rural-nearcity,1,0.860456109046936,1.4685748381360408,0.956813097000122,0.0058427341282367,17492.0,0.04856695343294104,0.0343575418471469
StationArea,suburban,1,1.2219581604003906,2.2393443726796254,0.912028968334198,0.0176763292402029,143569.0,0.002627537504779509,-0.12788923506358918
StationArea,urban,1,1.5724624395370483,2.565945611545321,0.8796093463897705,0.0552432723343372,428700.0,-0.08592860966980975,-0.24363100147202532
StationArea,rural,3,1.058819055557251,1.7244257067711608,0.7380056381225586,0.1262349486351013,16789.0,0.09360268034729202,-0.02197151420099419
StationArea,rural-nearcity,3,1.807877540588379,2.8415453402962747,0.8381235599517822,0.0567094720900058,17488.0,0.030805668447482004,-0.09863646448964714
StationArea,suburban,3,2.253000020980835,3.613736774495591,0.771077036857605,0.0377353988587856,142854.0,-0.09482408024559197,-0.36716215134326413
StationArea,urban,3,2.541816711425781,3.884380553556909,0.7242206335067749,0.1225610747933387,424218.0,-0.2921535603608474,-0.6237369019493233
StationArea,rural,6,1.4843096733093262,2.2044119897285497,0.5724259614944458,0.4487363994121551,16751.0,0.09834429206641526,-0.10879291281893133
StationArea,rural-nearcity,6,2.571785926818848,3.82852320254358,0.7048912644386292,0.2449928075075149,17486.0,-0.11304431657586811,-0.38535726881897947
StationArea,suburban,6,3.0228700637817383,4.605222117879319,0.6275018453598022,0.1836915612220764,142655.0,-0.28972308796688573,-0.6928517734535973
StationArea,urban,6,3.270715475082397,4.835193977449151,0.5724816918373108,0.2363813668489456,422695.0,-0.5001963334381201,-0.9708563611594263
StationArea,rural,12,1.8003525733947754,2.606458758951593,0.4036235809326172,0.4879412949085235,16677.0,-0.008064090573564275,-0.25351087063597433
StationArea,rural-nearcity,12,3.206721782684326,4.694284437614064,0.5544792413711548,0.3303354382514953,17481.0,-0.46789907928009233,-0.8580804418885304
StationArea,suburban,12,3.630399465560913,5.413566797856429,0.4850817322731018,0.2114897519350052,142476.0,-0.620932238608912,-1.176544259550817
StationArea,urban,12,3.7623541355133057,5.475007754803744,0.4516183137893677,0.2797931730747223,421253.0,-0.7959632337257982,-1.3698636381949214
StationArea,rural,24,2.039050579071045,2.933608053810002,0.2452937960624694,0.2325671911239624,16542.0,-0.12193381614114207,-0.4698680811239
StationArea,rural-nearcity,24,3.847865581512451,5.473080735009634,0.3938424587249756,0.4515244960784912,17466.0,-0.4300263348965725,-1.0287498861640154
StationArea,suburban,24,4.123963356018066,6.057992104737712,0.3573160767555237,0.1923831403255462,141813.0,-0.6714314694661976,-1.390225286256718
StationArea,urban,24,4.1593852043151855,5.9884930577552815,0.3450557589530945,0.2966446280479431,417140.0,-0.6836296031856062,-1.3256212040226067
